Χρονική σήμανση,Σε ποιο Εργασιακό Περιβάλλον /Τομέα/ Μονάδα εργάζεστε;,Σε ποιο τμήμα του Παθολογικού Τομέα εργάζεστε;,Σε ποιο τμήμα του Χειρουργικού Τομέα εργάζεστε;,Σε ποιο τμήμα του Εργαστηριακού Τομέα εργάζεστε;,Παρακαλώ γράψτε το όνομα του Τομέα που εργάζεστε.,1. Οι εργαζόμενοι υποστηρίζουν ο ένας τον άλλον.,2. Υπάρχει επαρκές προσωπικό για τη διεκπεραίωση της εργασίας.,"3. Όταν υπάρχει μεγάλος όγκος εργασίας που πρέπει να γίνει άμεσα, το προσωπικό εργάζεται ομαδικά για την ολοκλήρωση της.",4. Υπάρχει σεβασμός ανάμεσα στους εργαζομένους.,5. Το προσωπικό εργάζεται περισσότερες ώρες από αυτές που διασφαλίζουν ασφαλή φροντίδα για τον ασθενή.,6. Το προσωπικό εργάζεται δυναμικά για τη βελτίωση της ασφάλειας του ασθενούς.,7. Αξιοποιείται περισσότερο προσωρινό προσωπικό από αυτό που διασφαλίζει την ασφαλή φροντίδα του ασθενούς.,8. Το προσωπικό αισθάνεται ότι τα λάθη του μπορεί να χρησιμοποιηθούν εναντίον του. ,9. Τα λάθη οδήγησαν σε θετικές αλλαγές.,10. Από τύχη δεν συμβαίνουν σοβαρά λάθη.,11. Όταν υπάρχει μεγάλος φόρτος εργασίας παρέχεται βοήθεια από άλλες Μονάδες.,"12. Όταν δηλώνεται ένα δυσμενές συμβάν, υπάρχει η αίσθηση ότι καταγράφεται το άτομο και όχι το καθαυτό συμβάν.","13. Όταν γίνονται αλλαγές για τη βελτίωση της ασφάλειας του ασθενούς, αξιολογείται η αποτελεσματικότητά τους.",14. Το προσωπικό εργάζεται σε «κατάσταση κρίσης» προσπαθώντας να κάνει πολλά πράγματα γρήγορα.,15. Η ασφάλεια του ασθενούς αποτελεί προτεραιότητα ακόμα και όταν υπάρχει φόρτος εργασίας. ,16. Το προσωπικό ανησυχεί ότι τα λάθη του καταγράφονται στο προσωπικό του φάκελο.,17. Υπάρχει πρόβλημα ασφάλειας του ασθενούς.,18. Οι διαδικασίες διεκπεραίωσης της εργασίας και το σύστημα εν γένει συμβάλλει στην πρόληψη δυσμενών συμβάντων.,1. Επιβραβεύει το προσωπικό με καλά λόγια όταν τηρούνται οι διαδικασίες ασφαλούς φροντίδας του ασθενούς.,2. Λαμβάνει σοβαρά υπόψη του τις προτάσεις του προσωπικού για βελτίωση της ασφάλειας του ασθενούς.,"3. Παροτρύνει το προσωπικό να εργάζεται γρηγορότερα όταν υπάρχει υπερβολικός φόρτος εργασίας και πίεση, ακόμη και όταν παραβλέπονται σημαντικές διαδικασίες ασφάλειας του ασθενούς.",4. Παραβλέπει επαναλαμβανόμενα προβλήματα ασφάλειας του ασθενούς.,"1. Γίνεται συστηματική αξιολόγηση των αλλαγών που τίθενται σε εφαρμογή, βάσει δυσμενών συμβάντων που έχουν αναφερθεί. ",2. Το προσωπικό μιλάει ελεύθερα όταν διαπιστώσει κάτι που επιδρά αρνητικά στη φροντίδα υγείας του ασθενούς.,3. Το προσωπικό ενημερώνεται συχνά για τα δυσμενή συμβάντα που λαμβάνουν χώρα.,4. Το προσωπικό μπορεί ελεύθερα να αμφισβητήσει τις αποφάσεις ή τις ενέργειες των ανωτέρων του.,5. Το προσωπικό συζητά τρόπους πρόληψης δυσμενών συμβάντων ώστε να μην επαναληφθούν.,"6. Το προσωπικό φοβάται να ρωτήσει, όταν κάτι δεν φαίνεται σωστό.",…..αλλά εντοπιστεί και διορθωθεί πριν επηρεάσει τον ασθενή ,……αλλά δεν έχει πιθανότητα να βλάψει τον ασθενή.,"…..που θα μπορούσε να βλάψει τον ασθενή, αλλά δεν τον επηρέασε ",Παρακαλώ αξιολογήστε το επίπεδο ασφάλειας των ασθενών συνολικά στο Εργασιακό Περιβάλλον/Μονάδα σας επιλέγοντας με √ την απάντηση που σας εκφράζει.,1. Η Διοίκηση εξασφαλίζει εργασιακό κλίμα που προάγει την ασφάλεια του ασθενούς .,2. Υπάρχει ελλιπής συντονισμός μεταξύ των Μονάδων.,3. Η μεταφορά ασθενούς από τη μία Μονάδα στην άλλη συνήθως συνοδεύεται από προβλήματα.,4. Υπάρχει καλή συνεργασία ανάμεσα στις Μονάδες όταν αυτό απαιτείται.,"5. Συχνά, σημαντικές πληροφορίες σχετικά με τη νοσηλεία του ασθενούς χάνονται κατά την αλλαγή της βάρδιας.",6. Η συνεργασία με το προσωπικό άλλων Μονάδων είναι συχνά δυσάρεστη.,7. Συχνά παρουσιάζονται διάφορα προβλήματα κατά την ανταλλαγή πληροφοριών μεταξύ των Μονάδων.,8. Η ασφάλεια του ασθενούς αποτελεί κύρια προτεραιότητα για την Διοίκηση.,9. Η Διοίκηση δείχνει να ενδιαφέρεται για την ασφάλεια του ασθενούς μόνο μετά από την αναφορά κάποιου δυσμενούς συμβάντος.,10. Οι Μονάδες συνεργάζονται καλά μεταξύ τους για την παροχή άριστης ποιοτικά φροντίδας υγείας στον ασθενή.,11. Η αλλαγή βάρδιας είναι προβληματική για τον ασθενή.,Τους τελευταίους 12 μήνες πόσα δυσμενή συμβάντα έχετε αναφέρει; (Αναφέρετε έναν αριθμό),1. Φύλο: ,2. Ηλικία…,3α. Ποια είναι η βασική σας εκπαίδευση;,3β. Άλλες σπουδές:,7. Πόσο χρονικό διάστημα εργάζεστε στο συγκεκριμένο Νοσοκομείο;,8. Πόσο χρονικό διάστημα εργάζεστε στη συγκεκριμένη μονάδα ?,9. Συνήθως πόσες ώρες την εβδομάδα εργάζεστε στο συγκεκριμένο Νοσοκομείο; …,10. Τι θέση κατέχετε στο νοσοκομείο που εργάζεστε;,12. Πόσο χρονικό διάστημα εργάζεστε στην παρούσα ειδικότητα ή επάγγελμα; (Αθροιστικά στο τρέχον νοσοκομείο και σε τυχόν άλλα),"Παρακαλώ, καταγράψτε ελεύθερα τυχόν σχόλια και παρατηρήσεις σχετικά με ζητήματα ασφάλειας των ασθενών, ιατρικών λαθών και την αναφορά δυσμενών συμβάντων εντός του νοσοκομείου σας."
2022/11/09 1:27:08 μ.μ. EET,Χειρουργικός Τομέας,,Χειρουργικό,,,4,3,4,5,2,4,1,5,4,1,3,3,3,2,4,2,1,4,5,5,1,1,4,5,5,2,4,3,5,5,4,Πολύ Καλό,4,2,2,4,2,2,3,3,3,4,2,1,Άνδρας,57,3. Πανεπιστημιακή (Π.Ε.),3. Διδακτορικό δίπλωμα,22,22,60,2. Ειδικός ιατρός,30,
2022/11/09 1:28:18 μ.μ. EET,Άλλο,,,,ΤΟΜΕΑΡΧΗΣ Χ/ΚΟΥ ΤΟΜΕΑ,3,3,4,3,4,4,4,3,4,5,5,4,4,3,5,2,4,4,3,3,3,2,3,5,5,3,3,1,3,4,4,Καλό,4,3,3,3,2,2,3,5,3,,3,2,Άνδρας,57,2. Τεχνολογική (Τ.Ε.),2. Μεταπτυχιακές σπουδές,27,,44,4. ΤΕ Νοσηλευτής,33,Η ΕΠΑΡΚΕΙΑ ΠΡΟΣΩΠΙΚΟΥ ΚΑΙ Η ΣΥΝΕΧΗΣ ΕΚΠΑΙΔΕΥΣΗ -ΕΝΗΜΕΡΩΣΗ ΤΟΥ ΠΡΟΣΩΠΙΚΟΥ ΕΙΝΑΙ ΑΝΑΣΤΑΛΤΙΚΟΙ ΠΑΡΑΓΟΝΤΕΣ ΑΠΟΦΥΓΗΣ ΛΑΘΩΝ ΚΑΙ ΔΥΣΜΕΝΩΝ ΣΥΜΒΑΝΤΩΝ
2022/11/09 2:24:11 μ.μ. EET,Άλλο,,,,νοσηλευτική διεύθυνση,5,2,3,3,2,2,1,2,2,4,3,5,2,4,2,4,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,Μέτριο,2,2,3,3,3,3,3,3,5,3,4,10,Άνδρας,60,2. Τεχνολογική (Τ.Ε.),1. Ειδικότητα,26,11,8,4. ΤΕ Νοσηλευτής,35,
2022/11/10 1:07:42 μ.μ. EET,Τμήμα Επειγόντων Περιστατικών (ΤΕΠ),,,,,4,3,4,4,3,4,4,4,3,3,3,5,3,4,5,5,2,4,5,4,1,1,3,4,4,4,4,1,4,2,1,Πολύ Καλό,4,3,3,4,2,3,3,4,2,4,2,0,Άνδρας,54,2. Τεχνολογική (Τ.Ε.),2. Μεταπτυχιακές σπουδές,26,5,40,4. ΤΕ Νοσηλευτής,30,Μεγάλη προσοχή όλης της ομάδας παρέμβασης εστιασμένη στην ασφάλεια των ασθενών σύμφωνα με τα πρωτόκολλα του υπουργείου και του νοσοκομείου για ποιότητα παροχής υπηρεσιών  υγείας.  
2022/11/10 4:21:08 μ.μ. EET,Χειρουργικός Τομέας,,Χειρουργικό,,,2,2,2,2,4,3,2,4,4,4,4,,2,4,4,4,2,4,2,2,4,4,1,1,1,1,1,4,1,1,2,Καλό,4,4,4,2,4,4,4,4,2,2,4,0,Άνδρας,59,3. Πανεπιστημιακή (Π.Ε.),3. Διδακτορικό δίπλωμα,16,16,65,2. Ειδικός ιατρός,29,
2022/11/11 11:29:12 π.μ. EET,Άλλο,,,,Τακτικά Εξωτερικά Ιατρεία,4,2,5,5,5,5,4,3,4,1,2,2,4,4,4,3,1,4,5,4,2,2,4,5,5,1,5,1,5,3,3,Πολύ Καλό,4,2,1,5,2,2,2,5,2,4,1,0,Γυναίκα,57,2. Τεχνολογική (Τ.Ε.),2. Μεταπτυχιακές σπουδές,23,11,40,4. ΤΕ Νοσηλευτής,33,-
2022/11/11 12:13:26 μ.μ. EET,Χειρουργικός Τομέας,,Άλλο,,ΜΑΙΕΥΤΙΚΗ-ΓΥΝΑΙΚΟΛΟΓΙΚΗ ΚΛΙΝΙΚΗ,2,1,2,2,2,1,3,5,3,4,1,4,3,3,2,3,5,3,3,3,4,5,2,2,2,3,2,2,2,2,2,Μέτριο,2,5,2,3,3,3,3,2,3,3,3,7,Άνδρας,28,3. Πανεπιστημιακή (Π.Ε.),2. Μεταπτυχιακές σπουδές,2,2,60,1. Ειδικευόμενος ιατρός,4,-
2022/11/11 2:23:15 μ.μ. EET,Μονάδα Εντατικής Θεραπείας (ΜΕΘ),,,,,3,2,4,4,1,4,1,4,4,2,5,5,4,3,4,5,2,4,3,5,3,2,4,4,5,3,5,4,5,5,5,Πολύ Καλό,5,1,1,5,2,1,1,5,2,4,2,0,Γυναίκα,60,2. Τεχνολογική (Τ.Ε.),1. Ειδικότητα,26,17,40,4. ΤΕ Νοσηλευτής,40,
2022/11/12 1:19:15 π.μ. EET,Χειρουργικός Τομέας,,Ορθοπεδικό,,,3,2,2,3,4,3,4,4,2,4,3,3,2,4,3,2,3,4,2,2,4,4,2,3,4,3,2,4,3,3,3,Μέτριο,3,5,5,2,4,4,4,3,4,2,3,0,Άνδρας,37,3. Πανεπιστημιακή (Π.Ε.),1. Ειδικότητα,4,4,75,2. Ειδικός ιατρός,10,.
2022/11/12 2:39:40 μ.μ. EET,Άλλο,,,,Τομέας Δημόσιας Υγείας,4,4,5,5,4,3,2,3,3,2,2,1,2,4,5,3,1,4,3,4,2,1,4,5,4,2,3,1,3,4,4,Άριστο,5,1,3,4,1,1,2,5,1,4,1,0,Γυναίκα,49,3. Πανεπιστημιακή (Π.Ε.),2. Μεταπτυχιακές σπουδές,22,22,40,2. Ειδικός ιατρός,24,
2022/11/12 8:30:35 μ.μ. EET,Άλλο,,,,Τ  Ε Ι,4,1,4,3,4,4,3,2,3,1,3,1,4,3,5,1,3,3,5,4,3,3,3,4,3,3,3,1,5,1,3,Πολύ Καλό,4,3,3,3,2,3,3,3,3,3,3,2,Γυναίκα,52,2. Τεχνολογική (Τ.Ε.),,26,7,45,4. ΤΕ Νοσηλευτής,26,
2022/11/13 12:08:14 π.μ. EET,Χειρουργικός Τομέας,,Άλλο,,Μ/Γ,3,2,4,3,5,4,5,5,3,2,1,5,4,4,3,5,2,2,2,3,3,2,2,1,1,1,4,5,4,3,3,Καλό,3,3,4,3,2,2,3,4,2,3,2,0,Άνδρας,,3. Πανεπιστημιακή (Π.Ε.),,,,,,,
2022/11/14 3:34:22 μ.μ. EET,Χειρουργικός Τομέας,,Ορθοπεδικό,,,3,1,3,3,5,4,2,5,4,2,3,3,3,4,4,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,Καλό,3,3,5,3,3,3,3,3,4,3,4,2,Άνδρας,48,3. Πανεπιστημιακή (Π.Ε.),1. Ειδικότητα,10,10,70,2. Ειδικός ιατρός,5,
2022/11/14 5:14:08 μ.μ. EET,Εργαστηριακός Τομέας,,,Άλλο,Παθολογοανατομικό,3,1,3,3,4,4,4,2,4,2,2,1,4,5,5,2,1,4,4,5,1,1,4,5,4,4,4,1,5,3,5,Πολύ Καλό,4,4,3,3,3,3,3,4,2,3,3,1,Γυναίκα,56,3. Πανεπιστημιακή (Π.Ε.),1. Ειδικότητα,21,21,40,2. Ειδικός ιατρός,27,
2022/11/14 8:29:10 μ.μ. EET,Χειρουργικός Τομέας,,Ορθοπεδικό,,,4,1,4,3,4,4,2,3,2,4,2,4,2,4,4,2,4,3,4,4,3,2,4,4,4,3,2,2,3,2,2,Μέτριο,2,4,4,3,2,3,2,3,4,3,4,20,Γυναίκα,52,2. Τεχνολογική (Τ.Ε.),2. Μεταπτυχιακές σπουδές,23,23,40,4. ΤΕ Νοσηλευτής,25,
2022/11/15 1:12:44 μ.μ. EET,Εργαστηριακός Τομέας,,,Άλλο,ΜΟΡΙΑΚΟ,1,4,2,3,1,3,5,5,4,2,3,5,2,2,4,4,3,2,1,1,3,4,3,2,3,3,2,2,3,4,3,Καλό,3,5,4,3,5,3,5,5,4,4,5,10,Άνδρας,30,2. Τεχνολογική (Τ.Ε.),2. Μεταπτυχιακές σπουδές,2,2,40,,4,
2022/11/15 2:05:55 μ.μ. EET,Άλλο,,,,Ε.ΚΕ.Α,3,4,5,4,3,4,3,4,4,3,4,5,4,3,5,3,3,4,4,4,3,2,4,3,3,3,4,3,4,3,4,Πολύ Καλό,4,3,3,3,3,3,3,4,3,3,3,1,Γυναίκα,48,1. Δευτεροβάθμια (Δ.Ε.),,5,5,8,5. ΔΕ Βοηθός Νοσηλευτή,26,
2022/11/15 3:40:39 μ.μ. EET,Χειρουργικός Τομέας,,Ορθοπεδικό,,,4,1,3,4,5,5,4,5,2,4,1,4,2,5,4,4,3,4,3,1,5,1,3,1,4,1,2,5,2,2,3,Μέτριο,1,5,5,3,2,4,4,2,5,2,1,2,Γυναίκα,55,2. Τεχνολογική (Τ.Ε.),,12,12,45,4. ΤΕ Νοσηλευτής,22,
2022/11/16 10:09:42 π.μ. EET,Τμήμα Επειγόντων Περιστατικών (ΤΕΠ),,,,,4,2,4,3,4,2,4,3,2,5,1,3,1,5,2,2,4,1,1,1,5,4,1,4,2,1,3,3,3,3,2,Μέτριο,1,5,5,1,3,4,4,1,5,2,4,2,Άνδρας,41,2. Τεχνολογική (Τ.Ε.),3. Διδακτορικό δίπλωμα,16,16,40,4. ΤΕ Νοσηλευτής,16,
