Χρονική σήμανση,Σε ποιο Εργασιακό Περιβάλλον /Τομέα/ Μονάδα εργάζεστε;,Σε ποιο τμήμα του Παθολογικού Τομέα εργάζεστε;,Σε ποιο τμήμα του Χειρουργικού Τομέα εργάζεστε;,Σε ποιο τμήμα του Εργαστηριακού Τομέα εργάζεστε;,Παρακαλώ γράψτε το όνομα του Τομέα που εργάζεστε.,1. Οι εργαζόμενοι υποστηρίζουν ο ένας τον άλλον.,2. Υπάρχει επαρκές προσωπικό για τη διεκπεραίωση της εργασίας.,"3. Όταν υπάρχει μεγάλος όγκος εργασίας που πρέπει να γίνει άμεσα, το προσωπικό εργάζεται ομαδικά για την ολοκλήρωση της.",4. Υπάρχει σεβασμός ανάμεσα στους εργαζομένους.,5. Το προσωπικό εργάζεται περισσότερες ώρες από αυτές που διασφαλίζουν ασφαλή φροντίδα για τον ασθενή.,6. Το προσωπικό εργάζεται δυναμικά για τη βελτίωση της ασφάλειας του ασθενούς.,7. Αξιοποιείται περισσότερο προσωρινό προσωπικό από αυτό που διασφαλίζει την ασφαλή φροντίδα του ασθενούς.,8. Το προσωπικό αισθάνεται ότι τα λάθη του μπορεί να χρησιμοποιηθούν εναντίον του. ,9. Τα λάθη οδήγησαν σε θετικές αλλαγές.,10. Από τύχη δεν συμβαίνουν σοβαρά λάθη.,11. Όταν υπάρχει μεγάλος φόρτος εργασίας παρέχεται βοήθεια από άλλες Μονάδες.,"12. Όταν δηλώνεται ένα δυσμενές συμβάν, υπάρχει η αίσθηση ότι καταγράφεται το άτομο και όχι το καθαυτό συμβάν.","13. Όταν γίνονται αλλαγές για τη βελτίωση της ασφάλειας του ασθενούς, αξιολογείται η αποτελεσματικότητά τους.",14. Το προσωπικό εργάζεται σε «κατάσταση κρίσης» προσπαθώντας να κάνει πολλά πράγματα γρήγορα.,15. Η ασφάλεια του ασθενούς αποτελεί προτεραιότητα ακόμα και όταν υπάρχει φόρτος εργασίας. ,16. Το προσωπικό ανησυχεί ότι τα λάθη του καταγράφονται στο προσωπικό του φάκελο.,17. Υπάρχει πρόβλημα ασφάλειας του ασθενούς.,18. Οι διαδικασίες διεκπεραίωσης της εργασίας και το σύστημα εν γένει συμβάλλει στην πρόληψη δυσμενών συμβάντων.,1. Επιβραβεύει το προσωπικό με καλά λόγια όταν τηρούνται οι διαδικασίες ασφαλούς φροντίδας του ασθενούς.,2. Λαμβάνει σοβαρά υπόψη του τις προτάσεις του προσωπικού για βελτίωση της ασφάλειας του ασθενούς.,"3. Παροτρύνει το προσωπικό να εργάζεται γρηγορότερα όταν υπάρχει υπερβολικός φόρτος εργασίας και πίεση, ακόμη και όταν παραβλέπονται σημαντικές διαδικασίες ασφάλειας του ασθενούς.",4. Παραβλέπει επαναλαμβανόμενα προβλήματα ασφάλειας του ασθενούς.,"1. Γίνεται συστηματική αξιολόγηση των αλλαγών που τίθενται σε εφαρμογή, βάσει δυσμενών συμβάντων που έχουν αναφερθεί. ",2. Το προσωπικό μιλάει ελεύθερα όταν διαπιστώσει κάτι που επιδρά αρνητικά στη φροντίδα υγείας του ασθενούς.,3. Το προσωπικό ενημερώνεται συχνά για τα δυσμενή συμβάντα που λαμβάνουν χώρα.,4. Το προσωπικό μπορεί ελεύθερα να αμφισβητήσει τις αποφάσεις ή τις ενέργειες των ανωτέρων του.,5. Το προσωπικό συζητά τρόπους πρόληψης δυσμενών συμβάντων ώστε να μην επαναληφθούν.,"6. Το προσωπικό φοβάται να ρωτήσει, όταν κάτι δεν φαίνεται σωστό.",…..αλλά εντοπιστεί και διορθωθεί πριν επηρεάσει τον ασθενή ,……αλλά δεν έχει πιθανότητα να βλάψει τον ασθενή.,"…..που θα μπορούσε να βλάψει τον ασθενή, αλλά δεν τον επηρέασε ",Παρακαλώ αξιολογήστε το επίπεδο ασφάλειας των ασθενών συνολικά στο Εργασιακό Περιβάλλον/Μονάδα σας επιλέγοντας με √ την απάντηση που σας εκφράζει.,1. Η Διοίκηση εξασφαλίζει εργασιακό κλίμα που προάγει την ασφάλεια του ασθενούς .,2. Υπάρχει ελλιπής συντονισμός μεταξύ των Μονάδων.,3. Η μεταφορά ασθενούς από τη μία Μονάδα στην άλλη συνήθως συνοδεύεται από προβλήματα.,4. Υπάρχει καλή συνεργασία ανάμεσα στις Μονάδες όταν αυτό απαιτείται.,"5. Συχνά, σημαντικές πληροφορίες σχετικά με τη νοσηλεία του ασθενούς χάνονται κατά την αλλαγή της βάρδιας.",6. Η συνεργασία με το προσωπικό άλλων Μονάδων είναι συχνά δυσάρεστη.,7. Συχνά παρουσιάζονται διάφορα προβλήματα κατά την ανταλλαγή πληροφοριών μεταξύ των Μονάδων.,8. Η ασφάλεια του ασθενούς αποτελεί κύρια προτεραιότητα για την Διοίκηση.,9. Η Διοίκηση δείχνει να ενδιαφέρεται για την ασφάλεια του ασθενούς μόνο μετά από την αναφορά κάποιου δυσμενούς συμβάντος.,10. Οι Μονάδες συνεργάζονται καλά μεταξύ τους για την παροχή άριστης ποιοτικά φροντίδας υγείας στον ασθενή.,11. Η αλλαγή βάρδιας είναι προβληματική για τον ασθενή.,Τους τελευταίους 12 μήνες πόσα δυσμενή συμβάντα έχετε αναφέρει; (Αναφέρετε έναν αριθμό),1. Φύλο: ,2. Ηλικία…,3α. Ποια είναι η βασική σας εκπαίδευση;,3β. Άλλες σπουδές:,7. Πόσο χρονικό διάστημα εργάζεστε στο συγκεκριμένο Νοσοκομείο;,8. Πόσο χρονικό διάστημα εργάζεστε στη συγκεκριμένη μονάδα ?,9. Συνήθως πόσες ώρες την εβδομάδα εργάζεστε στο συγκεκριμένο Νοσοκομείο; …,10. Τι θέση κατέχετε στο νοσοκομείο που εργάζεστε;,12. Πόσο χρονικό διάστημα εργάζεστε στην παρούσα ειδικότητα ή επάγγελμα; (Αθροιστικά στο τρέχον νοσοκομείο και σε τυχόν άλλα),"Παρακαλώ, καταγράψτε ελεύθερα τυχόν σχόλια και παρατηρήσεις σχετικά με ζητήματα ασφάλειας των ασθενών, ιατρικών λαθών και την αναφορά δυσμενών συμβάντων εντός του νοσοκομείου σας."
2022/08/01 5:41:20 μ.μ. EET,Παθολογικός Τομέας,Παθολογικό,,,,4,1,4,3,5,5,4,4,2,2,1,3,3,4,5,3,5,1,1,3,1,3,1,5,2,1,4,2,3,3,2,,1,4,2,3,1,3,3,2,3,3,1,3,Γυναίκα,39,2. Τεχνολογική (Τ.Ε.),,8,8,40,4. ΤΕ Νοσηλευτής,1,"Η έλλειψη προσωπικού, τα εξαντλητικά ωράρια, η μεγάλη προσέλευση των ασθενών στα επείγοντα κ μετα η εισαγωγή τους σε ραντζα ούτε καν σε κλίνες, αν δεν αλλάξουν αυτά, θα υπάρχει μονίμως τεράστιο πρόβλημα όσον αφορά την μη ασφάλεια των ασθενών κ του ιατρονοσηλευτικου προσωπικού. "
2022/08/01 6:02:42 μ.μ. EET,Παθολογικός Τομέας,Νεφρολογικό,,,,2,1,3,2,5,4,3,5,2,1,1,4,2,5,2,3,3,3,3,3,2,2,1,3,2,1,2,5,4,4,4,Πολύ Καλό,3,4,5,2,3,3,4,2,4,2,2,3,Γυναίκα,40,2. Τεχνολογική (Τ.Ε.),2. Μεταπτυχιακές σπουδές,13,13,40,4. ΤΕ Νοσηλευτής,15,
2022/08/01 6:39:25 μ.μ. EET,Χειρουργικός Τομέας,,Οφθαλμολογικό,,,4,1,5,5,1,5,5,1,5,1,4,1,5,1,5,1,1,5,5,5,1,1,5,5,5,3,5,1,5,5,5,Άριστο,4,1,1,5,1,1,,5,1,5,1,2,Γυναίκα,30,2. Τεχνολογική (Τ.Ε.),2. Μεταπτυχιακές σπουδές,2,2,40,4. ΤΕ Νοσηλευτής,6,
2022/08/01 7:08:01 μ.μ. EET,Εργαστηριακός Τομέας,,,Άλλο,Επεμβατικής ακτινολογίας ,3,2,5,3,4,4,3,5,1,5,1,2,3,2,5,3,2,3,1,2,1,5,3,5,5,4,5,1,2,3,3,Καλό,2,3,2,4,1,4,2,1,5,4,1,3,Γυναίκα,50,1. Δευτεροβάθμια (Δ.Ε.),,20,10,45,5. ΔΕ Βοηθός Νοσηλευτή,30,
2022/08/01 7:40:40 μ.μ. EET,Χειρουργικός Τομέας,,Άλλο,,Επεμβατικό - ψηφιακός αγγ/φος,2,2,4,4,5,4,2,3,3,2,1,5,1,5,4,1,2,1,5,4,1,1,1,5,4,1,4,1,,,,,,,5,3,4,4,4,3,,,2,,Γυναίκα,51,2. Τεχνολογική (Τ.Ε.),1. Ειδικότητα,26,4,45,4. ΤΕ Νοσηλευτής,29,Καλή επιτυχία!!!!
2022/08/01 7:51:09 μ.μ. EET,Χειρουργικός Τομέας,,Ορθοπεδικό,,,2,1,1,3,5,5,5,5,4,3,1,5,3,5,5,2,5,2,2,3,2,1,1,5,5,3,5,3,2,5,5,Πολύ Καλό,1,3,1,3,1,5,1,1,5,5,1,10,Γυναίκα,45,1. Δευτεροβάθμια (Δ.Ε.),,20,10,40,5. ΔΕ Βοηθός Νοσηλευτή,25,
2022/08/01 9:05:56 μ.μ. EET,Παθολογικός Τομέας,Νεφρολογικό,,,,3,1,4,4,5,4,2,5,3,3,5,4,4,4,5,4,1,3,5,5,1,1,2,5,4,3,4,1,3,5,5,Πολύ Καλό,4,3,3,3,4,3,3,3,3,3,5,3,Γυναίκα,47,2. Τεχνολογική (Τ.Ε.),,21,21,,4. ΤΕ Νοσηλευτής,22,
2022/08/01 10:36:50 μ.μ. EET,Άλλο,,,,Επιτροπή νοσοκομειακών λοιμώξεων ,3,2,3,4,3,4,3,3,3,2,3,3,4,4,5,3,2,4,4,4,3,1,4,4,4,3,3,2,5,5,5,Πολύ Καλό,4,2,2,5,1,1,2,5,2,4,3,,Γυναίκα,,2. Τεχνολογική (Τ.Ε.),,36,27,40,4. ΤΕ Νοσηλευτής,26,Η ασφάλεια των ασθενών είναι υποχρέωση όλων των επαγγελματιών υγείας και των διοικήσεων με όλους τους τομείς 
2022/08/01 11:01:11 μ.μ. EET,Χειρουργικός Τομέας,,Νευροχειρουργικό,,,1,1,2,3,1,3,3,5,1,5,1,5,1,5,4,5,4,1,4,3,2,3,1,4,3,2,4,4,4,4,4,Καλό,2,3,3,4,4,4,3,3,3,3,2,6,,,,,,,,,,
2022/08/02 2:14:14 π.μ. EET,Παθολογικός Τομέας,Καρδιολογικό,,,,3,1,3,3,5,5,2,4,4,3,2,4,4,4,4,3,1,4,4,5,4,5,4,4,4,4,4,2,4,4,4,,5,3,3,4,2,3,3,4,2,4,3,,Γυναίκα,43,2. Τεχνολογική (Τ.Ε.),2. Μεταπτυχιακές σπουδές,11,11,40,4. ΤΕ Νοσηλευτής,15,
2022/08/02 8:17:18 π.μ. EET,Άλλο,,,,Διοικητικος,3,2,4,3,2,4,4,4,3,5,4,4,4,4,5,4,3,4,4,4,3,3,3,3,4,4,3,4,3,4,4,Πολύ Καλό,3,4,3,5,4,3,4,4,4,4,4,,Γυναίκα,39,2. Τεχνολογική (Τ.Ε.),1. Ειδικότητα,10,10,40,,,
2022/08/02 8:50:15 π.μ. EET,Παθολογικός Τομέας,Νεφρολογικό,,,,3,4,4,2,2,4,2,3,4,2,1,4,2,3,4,3,2,4,2,1,3,2,2,4,4,1,3,3,1,1,2,Καλό,3,2,2,4,2,2,2,3,4,3,4,0,Γυναίκα,53,2. Τεχνολογική (Τ.Ε.),,26,26,50,4. ΤΕ Νοσηλευτής,30,Ουδεν
2022/08/02 9:05:49 π.μ. EET,Άλλο,,,,διευθυνση νοσηλευτικής υπηρεσίας,4,3,4,4,5,3,5,5,3,3,4,2,4,5,5,5,3,4,2,3,1,3,4,4,4,3,3,3,1,3,3,Καλό,3,4,3,4,2,3,3,4,1,3,3,4,Γυναίκα,53,3. Πανεπιστημιακή (Π.Ε.),2. Μεταπτυχιακές σπουδές,28,1,50,3. ΠΕ Νοσηλευτής,28,υπαρχει έλλειψη προσωπικου αριθμητική και συσσωρευμένη κόπωση ετών που δεν βοηθά στην μέγιστη απόδοση του προσωπικού και σχετικά με την ασφάλεια του ασθενούς.
2022/08/02 2:10:58 μ.μ. EET,Παθολογικός Τομέας,Αιματολογικό,,,,5,1,5,5,1,5,4,5,5,2,1,2,5,3,5,3,1,4,5,5,1,1,5,5,5,4,5,1,5,5,5,,4,4,1,,1,1,2,5,2,4,1,0,Γυναίκα,55,2. Τεχνολογική (Τ.Ε.),1. Ειδικότητα,35,21,40,4. ΤΕ Νοσηλευτής,35,
2022/08/02 7:44:26 μ.μ. EET,Ψυχιατρικός Τομέας,,,,,3,1,4,3,4,4,1,4,4,4,4,4,5,4,4,4,4,2,4,3,,2,3,5,4,2,4,4,4,4,5,Καλό,4,4,4,4,2,2,2,4,4,2,2,1,Άνδρας,61,2. Τεχνολογική (Τ.Ε.),1. Ειδικότητα,11,9,50,4. ΤΕ Νοσηλευτής,15,"Υποχρηματοδότηση, υποστελέχωση, επαγγελματική κόπωση, έλλειψη καλού συντονισμού. Δεν έχουν προκύψει σοβαρά προβλήματα, διότι γίνεται διαρκής προσπάθεια επίλυσης εκ των ενόντων και με προσωπική υπέρβαση πολλών εκ του προσωπικού."
2022/08/02 9:04:58 μ.μ. EET,Ψυχιατρικός Τομέας,,,,,3,4,5,3,3,4,2,2,4,2,1,2,4,3,5,2,1,3,5,5,1,1,4,5,5,4,4,1,5,4,5,Πολύ Καλό,3,3,3,4,2,2,3,4,3,3,2,0,Γυναίκα,54,2. Τεχνολογική (Τ.Ε.),2. Μεταπτυχιακές σπουδές,29,1,45,4. ΤΕ Νοσηλευτής,29,
2022/08/04 10:01:34 π.μ. EET,Τμήμα Επειγόντων Περιστατικών (ΤΕΠ),,,,,5,1,5,3,4,4,3,4,3,4,2,3,3,5,5,5,3,3,3,4,3,3,3,4,2,3,4,3,4,4,4,Καλό,3,3,3,4,2,3,3,4,2,4,1,0,Άνδρας,55,2. Τεχνολογική (Τ.Ε.),,3,34,40,4. ΤΕ Νοσηλευτής,34,Μεγάλος φόρτος εργασίας και ελλείψεις  σε νοσηλευτικό και  ιατρικό  προσωπικό  δεν   αποτελούν ευνοϊκό περιβάλλον που εγγυάται την ασφάλεια  των ασθενών 
2022/08/04 9:30:49 μ.μ. EET,Τμήμα Επειγόντων Περιστατικών (ΤΕΠ),,,,,5,2,4,3,4,5,3,4,2,3,2,2,4,4,4,2,2,3,4,4,4,2,2,4,4,2,4,1,3,3,3,Πολύ Καλό,4,3,4,4,4,4,3,4,3,4,2,1,Άνδρας,51,2. Τεχνολογική (Τ.Ε.),2. Μεταπτυχιακές σπουδές,27,24,24,4. ΤΕ Νοσηλευτής,27,
2022/08/05 10:25:34 π.μ. EET,Χειρουργικός Τομέας,,Ορθοπεδικό,,,3,1,3,3,4,3,4,3,3,3,2,4,3,4,3,4,3,4,4,3,4,3,3,3,4,3,3,3,4,3,3,Καλό,3,4,5,3,4,3,3,2,5,3,3,4,Άνδρας,48,2. Τεχνολογική (Τ.Ε.),1. Ειδικότητα,22,10,40,4. ΤΕ Νοσηλευτής,22,Υπάρχουν περιθώρια βελτίωσης 
2022/08/06 2:23:53 μ.μ. EET,Χειρουργικός Τομέας,,Οφθαλμολογικό,,,2,2,1,3,1,5,5,2,4,1,3,1,1,4,5,1,2,3,1,2,1,1,1,3,1,1,2,4,3,3,,Πολύ Καλό,1,4,1,5,1,1,1,5,4,4,4,0,Άνδρας,56,2. Τεχνολογική (Τ.Ε.),,34,34,40,4. ΤΕ Νοσηλευτής,34,
2022/08/08 5:19:54 μ.μ. EET,Χειρουργικός Τομέας,,Νευροχειρουργικό,,,4,1,4,4,3,4,1,4,4,1,1,2,4,4,5,2,1,2,5,4,2,1,3,5,5,4,4,1,2,4,4,Καλό,4,4,4,4,1,3,3,4,2,3,1,,Άνδρας,,2. Τεχνολογική (Τ.Ε.),2. Μεταπτυχιακές σπουδές,33,33,50,4. ΤΕ Νοσηλευτής,33,
